00000002	2
00000003	3
0000000C	4
0800035F	5
0800035E	6
01000000	7
00000000	0
00000001	1
00000002	2
00000003	3
0000000C	4
0800035F	5
08000176	6
01000000	7
00000000	0
00000001	1
00000002	2
00000003	3
0000000C	4
0800035F	5
0800035A	6
01000000	7
00000000	0
00000001	1
00000002	2
00000003	3
0000000C	4
0800035F	5
0800035A	6
01000000	7
00000000	0
00000001	1
00000002	2
00000003	3
0000000C	4
0800035F	5
0800035E	6
01000000	7
00000000	0
00000001	1
00000002	2
00000003	3
0000000C	4
0800035F	5
0800035A	6
01000000	7
00000000	0
00000001	1
00000002	2
00000003	3
0000000C	4
